Sample in Buffer,Sample in Window,TRIGGER,audio_bd_i/system_ila_0/U0/probe0_1[9:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED
709,709,0,138
710,710,0,138
711,711,0,138
712,712,0,138
713,713,0,138
714,714,0,138
715,715,0,138
716,716,0,138
717,717,0,138
718,718,0,138
719,719,0,138
720,720,0,138
721,721,0,138
722,722,0,138
723,723,0,138
724,724,0,138
725,725,0,138
726,726,0,138
727,727,0,138
728,728,0,138
729,729,0,138
730,730,0,138
731,731,0,138
732,732,0,138
733,733,0,138
734,734,0,138
735,735,0,138
736,736,0,138
737,737,0,138
738,738,0,138
739,739,0,138
740,740,0,138
741,741,0,138
742,742,0,138
743,743,0,138
744,744,0,138
745,745,0,138
746,746,0,138
747,747,0,138
748,748,0,138
749,749,0,138
750,750,0,138
751,751,0,138
752,752,0,138
753,753,0,138
754,754,0,138
755,755,0,138
756,756,0,138
757,757,0,138
758,758,0,138
759,759,0,138
760,760,0,138
761,761,0,138
762,762,0,138
763,763,0,138
764,764,0,138
765,765,0,138
766,766,0,138
767,767,0,138
768,768,0,138
769,769,0,138
770,770,0,138
771,771,0,138
772,772,0,138
773,773,0,138
774,774,0,138
775,775,0,138
776,776,0,138
777,777,0,138
778,778,0,138
779,779,0,138
780,780,0,138
781,781,0,138
782,782,0,138
783,783,0,138
784,784,0,138
785,785,0,138
786,786,0,138
787,787,0,138
788,788,0,138
789,789,0,138
790,790,0,138
791,791,0,138
792,792,0,138
793,793,0,138
794,794,0,138
795,795,0,138
796,796,0,138
797,797,0,138
798,798,0,138
799,799,0,138
800,800,0,138
801,801,0,138
802,802,0,138
803,803,0,138
804,804,0,138
805,805,0,138
806,806,0,138
807,807,0,138
808,808,0,138
809,809,0,138
810,810,0,138
811,811,0,138
812,812,0,138
813,813,0,138
814,814,0,138
815,815,0,138
816,816,0,138
817,817,0,138
818,818,0,138
819,819,0,138
820,820,0,138
821,821,0,138
822,822,0,138
823,823,0,138
824,824,0,138
825,825,0,138
826,826,0,138
827,827,0,138
828,828,0,138
829,829,0,138
830,830,0,138
831,831,0,138
832,832,0,138
833,833,0,138
834,834,0,138
835,835,0,138
836,836,0,138
837,837,0,138
838,838,0,138
839,839,0,138
840,840,0,138
841,841,0,138
842,842,0,138
843,843,0,138
844,844,0,138
845,845,0,138
846,846,0,138
847,847,0,138
848,848,0,138
849,849,0,138
850,850,0,138
851,851,0,138
852,852,0,138
853,853,0,138
854,854,0,138
855,855,0,138
856,856,0,138
857,857,0,138
858,858,0,138
859,859,0,138
860,860,0,138
861,861,0,138
862,862,0,138
863,863,0,138
864,864,0,138
865,865,0,138
866,866,0,138
867,867,0,138
868,868,0,138
869,869,0,138
870,870,0,138
871,871,0,138
872,872,0,138
873,873,0,138
874,874,0,138
875,875,0,138
876,876,0,138
877,877,0,138
878,878,0,138
879,879,0,138
880,880,0,138
881,881,0,138
882,882,0,138
883,883,0,138
884,884,0,138
885,885,0,138
886,886,0,138
887,887,0,138
888,888,0,138
889,889,0,138
890,890,0,138
891,891,0,138
892,892,0,138
893,893,0,138
894,894,0,138
895,895,0,138
896,896,0,138
897,897,0,138
898,898,0,138
899,899,0,138
900,900,0,138
901,901,0,138
902,902,0,138
903,903,0,138
904,904,0,138
905,905,0,138
906,906,0,138
907,907,0,138
908,908,0,138
909,909,0,138
910,910,0,138
911,911,0,138
912,912,0,138
913,913,0,138
914,914,0,138
915,915,0,138
916,916,0,138
917,917,0,138
918,918,0,138
919,919,0,138
920,920,0,138
921,921,0,138
922,922,0,138
923,923,0,138
924,924,0,138
925,925,0,138
926,926,0,138
927,927,0,138
928,928,0,138
929,929,0,138
930,930,0,138
931,931,0,138
932,932,0,138
933,933,0,138
934,934,0,138
935,935,0,138
936,936,0,138
937,937,0,138
938,938,0,138
939,939,0,138
940,940,0,138
941,941,0,138
942,942,0,138
943,943,0,138
944,944,0,138
945,945,0,138
946,946,0,138
947,947,0,138
948,948,0,138
949,949,0,138
950,950,0,138
951,951,0,138
952,952,0,138
953,953,0,138
954,954,0,138
955,955,0,138
956,956,0,138
957,957,0,138
958,958,0,138
959,959,0,138
960,960,0,138
961,961,0,138
962,962,0,138
963,963,0,138
964,964,0,138
965,965,0,138
966,966,0,138
967,967,0,138
968,968,0,138
969,969,0,138
970,970,0,138
971,971,0,138
972,972,0,138
973,973,0,138
974,974,0,138
975,975,0,138
976,976,0,138
977,977,0,138
978,978,0,138
979,979,0,138
980,980,0,138
981,981,0,138
982,982,0,138
983,983,0,138
984,984,0,138
985,985,0,138
986,986,0,138
987,987,0,138
988,988,0,138
989,989,0,138
990,990,0,138
991,991,0,138
992,992,0,138
993,993,0,138
994,994,0,138
995,995,0,138
996,996,0,138
997,997,0,138
998,998,0,138
999,999,0,138
1000,1000,0,138
1001,1001,0,138
1002,1002,0,138
1003,1003,0,138
1004,1004,0,138
1005,1005,0,138
1006,1006,0,138
1007,1007,0,138
1008,1008,0,138
1009,1009,0,138
1010,1010,0,138
1011,1011,0,138
1012,1012,0,138
1013,1013,0,138
1014,1014,0,138
1015,1015,0,138
1016,1016,0,138
1017,1017,0,138
1018,1018,0,138
1019,1019,0,138
1020,1020,0,138
1021,1021,0,138
1022,1022,0,138
1023,1023,0,138
